step,base_pos_x,base_pos_y,base_pos_z,base_roll,base_pitch,base_yaw,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,cmd_lin_vel_x,cmd_lin_vel_y,cmd_ang_vel_z,actual_lin_vel_x,actual_lin_vel_y,actual_ang_vel_z,lin_vel_error,ang_vel_error
0,0.026367322,-0.15106101,0.79664093,6.2617936,6.2647095,0.27931985,-0.00097189215,-0.044431474,0.29623425,0.019300729,-0.24470557,0.30352563,0.7427832,0.42047668,0.42978036,0.005088874,-0.09391218,-0.044677336,0.89932686,0.4744577
1,0.027639972,-0.15323263,0.7882977,6.242405,6.2410955,0.30787545,-0.013019194,-0.026315335,0.2904345,-0.018834215,-0.25913224,0.31099507,0.7427832,0.42047668,0.41550267,-0.034629434,-0.043138187,-0.46390074,0.90515697,0.8794034
2,0.027495716,-0.15201986,0.7755606,6.25126,6.2253413,0.29802975,-0.03420979,-0.01522365,0.28918868,-0.03166968,-0.2901494,0.31079236,0.7427832,0.42047668,0.42042553,-0.03380562,0.078897245,-3.3884664,0.84839064,3.8088918
3,0.028056217,-0.1496094,0.7604615,6.2700825,6.2126412,0.2653417,-0.046986356,-0.025118401,0.2804824,-0.023110831,-0.3085987,0.29489052,0.7427832,0.42047668,0.4367696,0.007302838,0.06940953,-3.5296953,0.8149721,3.966465
4,0.028704518,-0.14752387,0.7431355,0.0037853061,6.212205,0.23326145,-0.032326106,-0.041651536,0.2541444,-0.013783833,-0.3073763,0.27103958,0.7427832,0.42047668,0.4528097,0.026131382,0.03492319,-2.893854,0.8137821,3.3466635
5,0.026953038,-0.14512157,0.72120875,0.023153238,6.2323017,0.21095097,-0.011024626,-0.06498802,0.2279372,-0.008546458,-0.30005854,0.24447003,0.7427832,0.42047668,0.46396482,-0.0030998266,0.08119283,-2.7679543,0.81942356,3.2319193
6,0.02487753,-0.1428404,0.69494057,0.038956553,6.253214,0.2068757,0.00656188,-0.08350465,0.20283112,-0.0058563612,-0.29352516,0.21324083,0.7427832,0.42047668,0.46600258,-0.0068692374,0.063933246,-2.3498244,0.8301217,2.815827
7,0.023736542,-0.14177036,0.6647808,0.044135127,6.265815,0.21623167,0.021498812,-0.08822354,0.17378849,-0.008465854,-0.2902719,0.1787855,0.7427832,0.42047668,0.46132457,-0.0003397048,0.02380997,-1.8105215,0.84236336,2.271846
8,0.023263788,-0.14103632,0.6305206,0.047117766,6.270518,0.23260282,0.033824544,-0.085056126,0.14052412,-0.016040722,-0.29319417,0.14312777,0.7427832,0.42047668,0.45313895,0.00748095,0.01964624,-1.3134406,0.83745706,1.7665795
9,0.023743585,-0.13936213,0.59194094,0.056734473,6.2610173,0.2513829,0.037335064,-0.08724677,0.105384156,-0.024939012,-0.3011141,0.10564853,0.7427832,0.42047668,0.44374883,0.023144603,0.046894725,-1.2624089,0.8108287,1.7061577
10,0.025031965,-0.13659236,0.5489937,0.072830655,6.240188,0.26452684,0.032263562,-0.09756132,0.07024866,-0.031424522,-0.3112823,0.064947985,0.7427832,0.42047668,0.43717682,0.03144919,0.06923787,-1.4547702,0.7933251,1.891947
11,0.029158615,-0.13239948,0.5202786,0.06327863,6.213199,0.28168628,0.03242649,-0.10419445,0.047836393,-0.033415217,-0.3276502,0.042879157,0.7427832,0.42047668,0.4285972,0.2609995,0.27829453,-0.5219515,0.5023259,0.9505487
12,0.035218444,-0.12356236,0.5109203,0.07768673,6.182804,0.26966086,0.04013412,-0.10320307,0.042423576,-0.025637161,-0.32942918,0.035862446,0.7427832,0.42047668,0.43461,0.30730274,0.30196002,-2.0946102,0.45131963,2.52922
13,0.040313426,-0.11437862,0.5090431,0.09721131,6.179223,0.25106087,0.043530457,-0.103059076,0.039760187,-0.018810553,-0.31874338,0.03299406,0.7427832,0.42047668,0.44391,0.3520386,0.32924718,-2.3208227,0.40125322,2.7647328
14,0.046099234,-0.10561119,0.5147656,0.09213963,6.19209,0.2546793,0.047543015,-0.10718256,0.043214843,-0.016949778,-0.3162153,0.042960867,0.7427832,0.42047668,0.44210064,0.42526224,0.34757757,-1.0982366,0.32578188,1.5403372
15,0.05219481,-0.09884401,0.5188511,0.07261068,6.211837,0.261177,0.048328783,-0.10588478,0.042708755,-0.019497141,-0.31007966,0.052909322,0.7427832,0.42047668,0.43885195,0.44249538,0.29076225,-1.1356745,0.32710642,1.5745264
16,0.05858799,-0.09140145,0.5196867,0.055299368,6.227487,0.28031382,0.040760845,-0.10981948,0.043970495,-0.028264735,-0.30546585,0.06043987,0.7427832,0.42047668,0.4292835,0.46568,0.33159295,-0.6697934,0.29100946,1.099077
17,0.065774046,-0.082291804,0.5207871,0.049209174,6.2302194,0.3020652,0.029398214,-0.11554433,0.05196286,-0.031468265,-0.30427676,0.06812837,0.7427832,0.42047668,0.4184078,0.4968133,0.35491404,-0.14220361,0.25455773,0.5606114
18,0.07205555,-0.07151536,0.5223241,0.05469458,6.237385,0.32315138,0.032109793,-0.11466161,0.06354936,-0.02705139,-0.3044073,0.07543416,0.7427832,0.42047668,0.4078647,0.5248185,0.42093256,0.16657296,0.21796519,0.24129173
19,0.076362155,-0.0599938,0.52308345,0.061624844,6.2689276,0.34580946,0.06605572,-0.095994055,0.060230166,-0.020357948,-0.30492014,0.07996133,0.7427832,0.42047668,0.39653563,0.48403358,0.4174953,0.46963072,0.25876677,0.07309508
20,0.07997144,-0.048111524,0.5216519,0.07057788,0.02820576,0.35782143,0.09434745,-0.07630889,0.05673162,-0.018810544,-0.30519205,0.08068116,0.7427832,0.42047668,0.39052963,0.5445773,0.46607897,-0.7462346,0.20338422,1.1367643
21,0.086741276,-0.03635008,0.51902026,0.065108806,0.050344378,0.37152153,0.09903704,-0.060557924,0.048353255,-0.026932944,-0.29586703,0.08026029,0.7427832,0.42047668,0.38367963,0.6010274,0.36485463,-0.20280504,0.15227772,0.5864847
22,0.09432732,-0.026270784,0.51515067,0.040295303,0.065955885,0.38889214,0.10156059,-0.047120005,0.038649544,-0.029918337,-0.27991948,0.0775803,0.7427832,0.42047668,0.37499428,0.59125286,0.3689447,0.03656696,0.16005306,0.3384273
23,0.10221645,-0.016720878,0.515059,0.01717743,0.070224784,0.4005901,0.09353024,-0.041985627,0.03556709,-0.020051893,-0.2609388,0.07446222,0.7427832,0.42047668,0.36914527,0.5606472,0.34341043,-0.09571202,0.19776937,0.46485728
24,0.11084014,-0.006876692,0.5193378,0.008890998,0.05243498,0.40923798,0.07413805,-0.04948883,0.04238209,-0.0024792776,-0.2414264,0.073328994,0.7427832,0.42047668,0.3648213,0.52693784,0.32304767,-0.94434655,0.2368156,1.3091679
25,0.11924364,0.0041826796,0.5219682,0.016737437,0.02155707,0.4063623,0.059836723,-0.048486557,0.05252876,0.01624969,-0.23404436,0.07596451,0.7427832,0.42047668,0.36625922,0.49832663,0.34595162,-0.8479633,0.25556406,1.2142224
26,0.12556024,0.017025616,0.5237107,0.033944175,0.011425178,0.41621476,0.06506106,-0.041462332,0.06429417,0.033806663,-0.23152673,0.079205364,0.7427832,0.42047668,0.361333,0.5516823,0.44033304,0.16095152,0.19212972,0.20038149
27,0.12946841,0.030123891,0.5247757,0.049864203,0.034274094,0.43369773,0.10487254,-0.013807568,0.05929929,0.046410713,-0.2329276,0.084760055,0.7427832,0.42047668,0.3525915,0.51364297,0.4353421,0.6734607,0.2296219,0.3208692
28,0.13298278,0.043265868,0.523453,0.06421207,0.066492975,0.44430587,0.13673897,0.0116126565,0.05642669,0.0558003,-0.23299488,0.08601742,0.7427832,0.42047668,0.34728742,0.5783215,0.47461355,-0.4015904,0.17314284,0.7488778
29,0.13961236,0.056072086,0.5209946,0.061037436,0.08290338,0.4502746,0.14391303,0.033800803,0.04800144,0.058198053,-0.22519208,0.08460123,0.7427832,0.42047668,0.344303,0.6303388,0.36529124,-0.2827172,0.12525643,0.62702024
30,0.14755385,0.066688575,0.5176516,0.036748175,0.093733534,0.45925134,0.14528824,0.050187398,0.038297728,0.06258273,-0.20972884,0.079993665,0.7427832,0.42047668,0.33981466,0.6392994,0.3397337,-0.04298394,0.13125671,0.3827986
31,0.15606588,0.0771877,0.5183863,0.0145036075,0.091800265,0.47165012,0.14038353,0.055931043,0.036154717,0.0755057,-0.18996188,0.07686913,0.7427832,0.42047668,0.3336153,0.6166628,0.32929093,0.2155205,0.15563159,0.1180948
32,0.16605079,0.08851402,0.52154005,0.0038476852,0.06433676,0.47238263,0.12818995,0.048186477,0.042466372,0.09641476,-0.16824073,0.0741745,0.7427832,0.42047668,0.33324897,0.62143564,0.31036603,-0.8454915,0.16385841,1.1787405
33,0.17664532,0.100632034,0.5241029,0.008781143,0.02110595,0.46858644,0.11377404,0.05008459,0.052380063,0.11951367,-0.1559963,0.076674305,0.7427832,0.42047668,0.33514714,0.6041951,0.3031306,-0.40617985,0.18159504,0.741327
34,0.18434505,0.11430228,0.5266227,0.02382107,0.0053702393,0.4771582,0.12001953,0.056179024,0.06532219,0.1397248,-0.15038815,0.081967786,0.7427832,0.42047668,0.3308612,0.62324554,0.43622118,0.26589602,0.12057006,0.06496519
35,0.1886123,0.12841128,0.5282719,0.04090237,0.0283923,0.49512866,0.15866803,0.080976,0.06262394,0.15534163,-0.14799741,0.087832496,0.7427832,0.42047668,0.32187605,0.58167493,0.43846294,0.8842878,0.16210915,0.5624117
36,0.19236068,0.14132302,0.52646387,0.05214411,0.06085659,0.51560086,0.19845602,0.11842918,0.05480483,0.1657222,-0.14687678,0.090467736,0.7427832,0.42047668,0.3116399,0.6114803,0.41838822,0.45942962,0.13131951,0.14778972
37,0.19941033,0.15454882,0.52342975,0.049739793,0.07349817,0.5221036,0.20728134,0.14364408,0.046695143,0.1740926,-0.14018956,0.0888399,0.7427832,0.42047668,0.3083886,0.6785309,0.3483439,-0.30884522,0.09659967,0.6172338
